task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,points,graders,grader_summaries,run_id
interaction-001,interaction,1,opencode,anthropic/claude-haiku-4-5-20251001,max,true,181.7,completed,236,3087,333585,38386,372207,4775,0.1043,0.0490,3,5,2,100,100,build=P;file=P;xcuitest=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | file:1 file assertion(s) satisfied | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/CartStore.swift: every match of /lines\.append\(product\)/ rewritten; Sources/CatalogView.swift: every match of /\b[A-Za-z_][A-Za-z0-9_]*\.add\(product\)/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s))",2026-09-19T063256-interaction-001-opencode
interaction-002,interaction,2,opencode,anthropic/claude-haiku-4-5-20251001,max,true,208.1,completed,109,1255,94693,29589,124391,2158,0.0568,0.0159,1,1,1,100,100,build=P;file=P;xcuitest=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | file:1 file assertion(s) satisfied | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/PartsSearchView.swift: every match of /return parts\.filter \{ \$0\.localizedCaseInsensitiveContains\(trimmed\) \}/ rewritten; Sources/PartsSearchView.swift: every match of /(results\s*=\s*)(?:Self|PartsSearchView)\.filter\([^\n]*\)/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (3 command(s))",2026-09-19T063602-interaction-002-opencode
interaction-003,interaction,3,opencode,anthropic/claude-haiku-4-5-20251001,max,true,189.3,completed,197,2227,171556,16237,187990,3623,0.0548,0.0285,2209,3831,0,100,100,build=P;file=P;xcuitest=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | file:1 file assertion(s) satisfied | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/ReportModel.swift: every match of /status\s*=\s*""Refreshed""/ rewritten; Sources/ReportService.swift: every match of /pass \\\(generation\)/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s))",2026-09-19T063934-interaction-003-opencode
interaction-004,interaction,4,opencode,anthropic/claude-haiku-4-5-20251001,max,true,248.1,completed,210,4252,215876,22256,238342,6666,0.0819,0.0431,1,11,0,100,100,build=P;xcuitest=P;file=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/EnrolmentFlowView.swift: every match of /\.accessibilityIdentifier\(\s*""full-name""\s*\)/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s))",2026-09-19T064248-interaction-004-opencode
interaction-005,interaction,5,opencode,anthropic/claude-haiku-4-5-20251001,max,false,1258.6,completed,902,26510,3982435,102540,4085877,40836,0.7270,0.5317,3,392,0,200,,trajectory=P;build=P;xcuitest=F;file=F,"trajectory:The agent's recorded commands show the work behind the deliverable (43 command(s)) | build:xcodebuild build succeeded for scheme 'GestureFixture' | xcuitest:1 executed, 0 passed, 1 failed, 0 skipped. Failing: GestureFixtureUITests/testAllGestures() | file:gesture-log.txt: expected to exist; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing",2026-09-19T064700-interaction-005-opencode
mapkit-001,frameworks,4,opencode,anthropic/claude-haiku-4-5-20251001,max,true,106.2,completed,108,1674,80869,12571,93548,3137,0.0391,0.0166,1,6,2,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Mapkit001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T120110-mapkit-001-opencode
networking-001,frameworks,4,opencode,anthropic/claude-haiku-4-5-20251001,max,true,147.5,completed,236,5012,258928,24954,284118,7009,0.0912,0.0512,1,10,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Networking001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (9 command(s))",2026-09-19T120257-networking-001-opencode
networking-002,frameworks,3,opencode,anthropic/claude-haiku-4-5-20251001,max,true,86.7,completed,46,930,27283,10617,37946,1668,0.0242,0.0074,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Networking002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T120526-networking-002-opencode
networking-003,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,true,65.4,completed,60,1441,34686,10630,45376,2202,0.0275,0.0107,1,7,0,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Networking003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T120653-networking-003-opencode
networking-004,frameworks,4,opencode,anthropic/claude-haiku-4-5-20251001,max,false,129.9,completed,183,2163,163481,20169,183833,3954,0.0606,0.0273,1,1,0,114,,build=P;xctest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'Networking004Fixture' | xctest:2 executed, 0 passed, 2 failed, 0 skipped. Failing: ReadingsLoaderTests/testReadingsDecode(), ReadingsLoaderTests/testTheTimestampIsTheOneTheServiceSent() | trajectory:The agent's recorded commands show the work behind the deliverable (5 command(s))",2026-09-19T120800-networking-004-opencode
networking-005,frameworks,3,opencode,anthropic/claude-haiku-4-5-20251001,max,true,63.4,completed,98,1230,63242,10415,73755,1939,0.0286,0.0126,1,6,1,114,114,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Networking005Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T121010-networking-005-opencode
networking-006,frameworks,4,opencode,anthropic/claude-haiku-4-5-20251001,max,true,113.7,completed,96,1229,70854,11662,82612,2053,0.0315,0.0133,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Networking006Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T121115-networking-006-opencode
networking-007,frameworks,3,opencode,anthropic/claude-haiku-4-5-20251001,max,true,96.7,completed,58,1138,38635,11174,49867,1704,0.0261,0.0096,1,1,0,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Networking007Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T121309-networking-007-opencode
networking-008,frameworks,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,108.8,completed,110,1703,86304,13074,99488,2498,0.0370,0.0173,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Networking008Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T121447-networking-008-opencode
ops-001,ops,1,opencode,anthropic/claude-haiku-4-5-20251001,max,true,96.6,completed,177,2035,257024,34097,291298,3460,0.0849,0.0361,1956,2071,0,100,100,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (8 command(s)) | build:xcodebuild build succeeded for scheme 'ConcurrencyFixture' | file:1 file assertion(s) satisfied,2026-09-19T070800-ops-001-opencode
ops-002,ops,2,opencode,anthropic/claude-haiku-4-5-20251001,max,true,95.4,completed,174,2369,211269,32472,243915,3830,0.0802,0.0331,1,13,0,100,100,trajectory=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s)) | file:5 file assertion(s) satisfied,2026-09-19T070938-ops-002-opencode
ops-003,ops,3,opencode,anthropic/claude-haiku-4-5-20251001,max,true,127.1,completed,188,1909,155297,13823,169308,3055,0.0473,0.0253,2433,3229,0,100,100,trajectory=P;build=P;runtime=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (11 command(s)) | build:xcodebuild build succeeded for scheme 'NavigationFixture' | runtime:Process survived 6s observation window | file:2 file assertion(s) satisfied,2026-09-19T071114-ops-003-opencode
ops-005,ops,4,opencode,anthropic/claude-haiku-4-5-20251001,max,true,206.9,completed,329,6410,405479,25982,431790,9610,0.1198,0.0729,1,8,0,114,114,trajectory=P;build=P;runtime=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (21 command(s)) | build:xcodebuild build succeeded for scheme 'DecodingFixture' | runtime:Process survived 4s observation window | file:1 file assertion(s) satisfied,2026-09-19T071326-ops-005-opencode
ops-006,ops,2,opencode,anthropic/claude-haiku-4-5-20251001,max,true,70.2,completed,162,2218,132191,17236,149589,3557,0.0519,0.0245,1,8,0,100,100,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (9 command(s)) | build:xcodebuild build succeeded for scheme 'InfoPlistFixture' | file:4 file assertion(s) satisfied,2026-09-19T071657-ops-006-opencode
ops-007,ops,4,opencode,anthropic/claude-haiku-4-5-20251001,max,false,84.6,completed,230,2433,206013,15747,221990,4014,0.0594,0.0330,1,8,0,133,,trajectory=F;build=P;file=P,"trajectory:The deliverable is not backed by the run: ran 0 command(s) matching /simctl .*(boot|bootstatus)/, fewer than the 1 required | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:4 file assertion(s) satisfied",2026-09-19T071808-ops-007-opencode
ops-008,ops,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,73.7,completed,262,2510,227441,18124,245827,3770,0.0632,0.0356,1,4,0,100,100,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (8 command(s)) | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:2 file assertion(s) satisfied,2026-09-19T071933-ops-008-opencode
ops-009,ops,6,opencode,anthropic/claude-haiku-4-5-20251001,max,true,331.6,completed,961,23374,3214415,85474,3300850,32076,0.5848,0.4393,7,134,22,133,133,trajectory=P;build=P;file=P,"trajectory:The agent's recorded commands show the work behind the deliverable (35 command(s), including gem) | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied",2026-09-19T072048-ops-009-opencode
ops-010,ops,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,178.1,completed,417,7399,886348,53151,939916,11089,0.2089,0.1260,1976,1913,28,100,100,trajectory=P;build=P;runtime=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (17 command(s)) | build:xcodebuild build succeeded for scheme 'NavigationFixture' | runtime:Process survived 5s observation window | file:3 file assertion(s) satisfied,2026-09-19T072620-ops-010-opencode
ops-011,ops,3,opencode,anthropic/claude-haiku-4-5-20251001,max,false,103.1,completed,165,5124,282690,33244,316099,8375,0.1110,0.0541,1,38,0,133,,trajectory=P;build=P;file=F,trajectory:The agent's recorded commands show the work behind the deliverable (12 command(s)) | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:devices.txt: does not match /(?i)developerModeStatus|no (connected )?(physical )?(apple )?devices/,2026-09-19T072923-ops-011-opencode
ops-012,ops,9,opencode,anthropic/claude-haiku-4-5-20251001,max,true,209.8,completed,281,5292,745795,58118,804194,6972,0.1810,0.1013,200,2316,0,133,133,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (14 command(s)) | build:xcodebuild build succeeded for scheme 'ConcurrencyFixture' | file:5 file assertion(s) satisfied,2026-09-19T073107-ops-012-opencode
ops-013,ops,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,354.3,completed,293,7326,308583,21686,330562,9410,0.1038,0.0678,1,62,0,114,114,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (19 command(s)) | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:2 file assertion(s) satisfied,2026-09-19T073438-ops-013-opencode
ops-014,ops,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,114.4,completed,189,2557,187368,19735,207292,4021,0.0628,0.0317,205,1678,0,114,114,trajectory=P;build=P;runtime=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (11 command(s)) | build:xcodebuild build succeeded for scheme 'NavigationFixture' | runtime:Process survived 5s observation window | file:2 file assertion(s) satisfied,2026-09-19T074033-ops-014-opencode
ops-015,ops,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,94.3,completed,259,3703,338658,27715,366632,5673,0.0958,0.0526,6,55,0,114,114,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s)) | build:xcodebuild build succeeded for scheme 'ScratchApp' | file:6 file assertion(s) satisfied,2026-09-19T074231-ops-015-opencode
ops-016,ops,4,opencode,anthropic/claude-haiku-4-5-20251001,max,true,87.3,completed,215,2999,280388,35978,316581,5233,0.0983,0.0432,2,320,0,100,100,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (9 command(s)) | build:xcodebuild build succeeded for scheme 'ConcurrencyFixture' | file:5 file assertion(s) satisfied,2026-09-19T074406-ops-016-opencode
ops-017,ops,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,132.8,completed,231,6222,212313,19000,231544,7764,0.0829,0.0526,2,119,0,100,100,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (12 command(s)) | build:xcodebuild build succeeded for scheme 'NavigationFixture' | file:2 file assertion(s) satisfied,2026-09-19T074534-ops-017-opencode
ops-018,ops,6,opencode,anthropic/claude-haiku-4-5-20251001,max,false,153.5,completed,381,7956,648206,35689,684276,12257,0.1692,0.1050,5,90,4,160,,trajectory=P;build=P;file=F,trajectory:The agent's recorded commands show the work behind the deliverable (8 command(s)) | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:BuildFixture.xcodeproj/project.pbxproj: does not match /StringUtils in Frameworks/,2026-09-19T074748-ops-018-opencode
ops-019,ops,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,55.2,completed,74,1303,83321,30084,113479,1987,0.0556,0.0149,1,19,0,114,114,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s)) | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied,2026-09-19T075022-ops-019-opencode
ops-020,ops,4,opencode,anthropic/claude-haiku-4-5-20251001,max,true,56.8,completed,75,1787,117188,28976,146239,2600,0.0606,0.0207,1,589,0,100,100,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (5 command(s)) | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:4 file assertion(s) satisfied,2026-09-19T075118-ops-020-opencode
ops-021,ops,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,96.5,completed,327,4628,308024,18236,326587,6343,0.0840,0.0543,1,34,0,100,100,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (15 command(s)) | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied,2026-09-19T075216-ops-021-opencode
ops-022,ops,6,opencode,anthropic/claude-haiku-4-5-20251001,max,false,97.4,completed,139,3462,113970,15250,129359,5515,0.0575,0.0288,1,44,0,114,,trajectory=F;build=P;file=P,"trajectory:The deliverable is not backed by the run: ran 0 command(s) matching /simctl\s+spawn\s+\S+\s+launchctl/, fewer than the 1 required | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied",2026-09-19T075353-ops-022-opencode
ops-023,ops,8,opencode,anthropic/claude-haiku-4-5-20251001,max,true,114.1,completed,268,6270,560685,41387,602340,8388,0.1487,0.0877,1,127,0,100,100,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (13 command(s)) | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:2 file assertion(s) satisfied,2026-09-19T075531-ops-023-opencode
ops-024,ops,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,113.2,completed,213,5376,344039,34974,379226,6563,0.1101,0.0615,2446,3445,0,100,100,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s)) | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied,2026-09-19T075726-ops-024-opencode
ops-025,ops,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,135.0,completed,293,4370,410473,25186,435952,6058,0.1016,0.0632,363,3162,0,114,114,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (14 command(s)) | build:xcodebuild build succeeded for scheme 'NavigationFixture' | file:4 file assertion(s) satisfied,2026-09-19T075921-ops-025-opencode
ops-026,ops,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,126.2,completed,307,6559,340441,23296,364044,9521,0.1095,0.0671,1,40,0,114,114,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (13 command(s)) | build:xcodebuild build succeeded for scheme 'BuildFixture' | file:3 file assertion(s) satisfied,2026-09-19T080136-ops-026-opencode
ops-027,ops,3,opencode,anthropic/claude-haiku-4-5-20251001,max,true,14.6,completed,47,775,25204,9188,34439,1439,0.0210,0.0064,2,25,0,114,114,trajectory=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (2 command(s)) | file:4 file assertion(s) satisfied,2026-09-19T080343-ops-027-opencode
ops-028,ops,7,opencode,anthropic/claude-haiku-4-5-20251001,max,true,61.7,completed,144,1604,106366,11846,118356,3021,0.0400,0.0188,2,3,2,114,114,trajectory=P;build=P;xcodeproj=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (2 command(s)) | build:xcodebuild build succeeded for scheme 'XCConfigFixture' | xcodeproj:3 project assertion(s) hold in the resolved configuration | file:2 file assertion(s) satisfied,2026-09-19T080358-ops-028-opencode
ops-029,ops,6,opencode,anthropic/claude-haiku-4-5-20251001,max,true,208.1,completed,160,2033,242913,32884,275957,3742,0.0835,0.0346,750,348009,0,114,114,trajectory=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (7 command(s)) | file:14 file assertion(s) satisfied,2026-09-19T080501-ops-029-opencode
project-002,project,2,opencode,anthropic/claude-haiku-4-5-20251001,max,true,66.8,completed,110,1403,75162,11708,86980,2355,0.0335,0.0146,1,2,0,114,114,build=P;xcodeproj=P;trajectory=P,build:xcodebuild build succeeded for scheme 'InfoPlistFixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration | trajectory:The agent's recorded commands show the work behind the deliverable (2 command(s)),2026-09-19T080830-project-002-opencode
project-004,project,4,opencode,anthropic/claude-haiku-4-5-20251001,max,false,347.1,completed,332,5734,517483,34400,552215,8459,0.1357,0.0808,1,55,45,114,,build=P;xctest=F;mutation=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'SchemeFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped. No tests executed | mutation:The unmutated tests did not pass, so their failure cannot prove that the mutation was detected | trajectory:The agent's recorded commands show the work behind the deliverable (16 command(s))",2026-09-19T080937-project-004-opencode
project-005,project,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,93.5,completed,239,4579,259147,23465,282851,6197,0.0853,0.0490,1,54,32,133,133,file=P;build=P;trajectory=P,file:1 file assertion(s) satisfied | build:xcodebuild build succeeded for scheme 'PackageIntegrationFixture' | trajectory:The agent's recorded commands show the work behind the deliverable (10 command(s)),2026-09-19T081529-project-005-opencode
project-006,project,6,opencode,anthropic/claude-haiku-4-5-20251001,max,true,130.1,completed,191,4858,325793,47566,373550,6214,0.1223,0.0571,2,55,26,133,133,build=P;xctest=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'MultiTargetFixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Core/Counter.swift: ""public static let startingValue: Int = 0"" → ""public static let startingValue: Int = 99"") | trajectory:The agent's recorded commands show the work behind the deliverable (5 command(s))",2026-09-19T081703-project-006-opencode
push-001,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,true,139.0,completed,161,2391,168099,20698,188958,3228,0.0582,0.0289,1,2,0,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Push001Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (2 command(s))",2026-09-19T121636-push-001-opencode
push-002,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,false,197.4,completed,283,4506,405907,30204,436394,7418,0.1143,0.0634,2,79,3,267,,build=P;xcodeproj=F;file=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Push002Fixture' | xcodeproj:1 of 1 project assertion(s) failed: build setting CODE_SIGN_ENTITLEMENTS is not set | file:1 file assertion(s) satisfied | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s))",2026-09-19T121856-push-002-opencode
runtime-001,runtime,1,opencode,anthropic/claude-haiku-4-5-20251001,max,true,146.8,completed,237,2854,380737,44271,425245,4345,0.1142,0.0526,1,1,1,100,100,build=P;xcuitest=P;runtime=P;file=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'NavigationFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (9 command(s))",2026-09-19T081917-runtime-001-opencode
runtime-003,runtime,3,opencode,anthropic/claude-haiku-4-5-20251001,max,false,114.8,completed,72,1962,52170,12851,65093,3087,0.0364,0.0151,1,3,4,114,,build=F;xcuitest=F;runtime=F;trajectory=P,"build:xcodebuild build failed (exit 65) for scheme 'MainThreadFixture' | xcuitest:0 executed, 0 passed, 0 failed, 0 skipped. Tests failed to compile: FeedModel.swift: 'async' call in a function that does not support concurrency | runtime:App failed to build for runtime verification | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T082148-runtime-003-opencode
runtime-004,runtime,4,opencode,anthropic/claude-haiku-4-5-20251001,max,true,133.4,completed,84,1719,58390,12184,70658,2992,0.0357,0.0145,1,8,7,100,100,build=P;xcuitest=P;runtime=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'UpdateLoopFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T082347-runtime-004-opencode
runtime-005,runtime,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,180.8,completed,183,3140,178487,18815,197485,6068,0.0710,0.0337,1,16,5,114,114,build=P;xcuitest=P;runtime=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'RelaunchFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | runtime:Process survived 5s observation window | trajectory:The agent's recorded commands show the work behind the deliverable (3 command(s))",2026-09-19T082604-runtime-005-opencode
storekit-001,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,false,115.0,completed,309,3836,361952,31999,394260,6497,0.1074,0.0557,1,5,1,800,,build=P;file=F;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Storekit001Fixture' | file:Storekit001Fixture.xcodeproj/xcshareddata/xcschemes/Storekit001Fixture.xcscheme: does not match /StoreKitConfigurationFileReference[\s\S]*Products\.storekit/ | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (9 command(s))",2026-09-19T122215-storekit-001-opencode
storekit-002,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,false,118.2,completed,287,4457,320454,25633,346374,7358,0.0997,0.0546,1,6,2,400,,build=P;xctest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'Storekit002Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped. Tests failed to compile: PurchaseWatcherTests.swift: missing argument for parameter 'transactionID' in call | trajectory:The agent's recorded commands show the work behind the deliverable (11 command(s))",2026-09-19T122410-storekit-002-opencode
swiftdata-001,frameworks,2,opencode,anthropic/claude-haiku-4-5-20251001,max,true,76.4,completed,95,1157,63704,11275,75074,2217,0.0312,0.0123,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'SwiftDataNotesFixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (1 command(s))",2026-09-19T082909-swiftdata-001-opencode
swiftdata-002,frameworks,4,opencode,anthropic/claude-haiku-4-5-20251001,max,true,91.8,completed,83,1211,58266,11204,69553,2098,0.0300,0.0120,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'SwiftDataContainerFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T083026-swiftdata-002-opencode
swiftdata-003,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,true,96.8,completed,46,929,27732,10778,38556,1687,0.0245,0.0075,1,1,0,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Swiftdata003Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T122610-swiftdata-003-opencode
swiftdata-004,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,true,69.5,completed,112,1346,74181,11047,85340,1961,0.0306,0.0143,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Swiftdata004Fixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (1 command(s))",2026-09-19T122747-swiftdata-004-opencode
swiftdata-005,frameworks,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,72.1,completed,98,1175,64536,10678,75312,1843,0.0286,0.0124,1,1,1,114,114,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Swiftdata005Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T122858-swiftdata-005-opencode
swiftdata-006,frameworks,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,63.0,completed,73,1004,43553,10303,53929,1619,0.0250,0.0094,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Swiftdata006Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (1 command(s))",2026-09-19T123011-swiftdata-006-opencode
swiftdata-007,frameworks,4,opencode,anthropic/claude-haiku-4-5-20251001,max,true,66.1,completed,71,965,42810,9842,52723,1592,0.0243,0.0092,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Swiftdata007Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (1 command(s))",2026-09-19T123115-swiftdata-007-opencode
