task,category,difficulty,agent,model,passed,duration_seconds,agent_termination,input_tokens,output_tokens,total_tokens,cost_usd,files_changed,insertions,deletions,face_value,efficiency,points,graders,grader_summaries,run_id
swiftdata-005,frameworks,5,opencode,minimax/MiniMax-M3,true,41.1,completed,13356,1305,14661,0.0100,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata005Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T113453-swiftdata-005-opencode
swiftdata-006,frameworks,5,opencode,minimax/MiniMax-M3,true,40.4,completed,12734,543,13277,0.0065,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata006Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T113535-swiftdata-006-opencode
swiftdata-007,frameworks,4,opencode,minimax/MiniMax-M3,true,28.1,completed,8393,663,9056,0.0056,1,1,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata007Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T113616-swiftdata-007-opencode
swiftdata-008,frameworks,7,opencode,minimax/MiniMax-M3,false,54.5,completed,11146,2542,13688,0.0106,1,7,5,70,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Swiftdata008Fixture' | xctest:3 executed, 2 passed, 1 failed, 0 skipped — failing: SyncedNotesTests/testEveryRelationshipIsOptional()",2026-09-02T113645-swiftdata-008-opencode
swiftdata-009,frameworks,3,opencode,minimax/MiniMax-M3,true,34.7,completed,7341,449,7790,0.0050,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata009Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T113741-swiftdata-009-opencode
swiftdata-010,frameworks,6,opencode,minimax/MiniMax-M3,true,30.4,completed,8646,702,9348,0.0062,1,2,2,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata010Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T113816-swiftdata-010-opencode
system-001,frameworks,5,opencode,minimax/MiniMax-M3,true,58.4,completed,13098,1525,14623,0.0093,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'System001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T113847-system-001-opencode
system-002,frameworks,6,opencode,minimax/MiniMax-M3,true,66.4,completed,10584,1298,11882,0.0081,1,1,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'System002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T113946-system-002-opencode
system-003,frameworks,4,opencode,minimax/MiniMax-M3,false,53.2,completed,9802,3724,13526,0.0121,2,28,2,40,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'System003Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T114053-system-003-opencode
system-004,frameworks,5,opencode,minimax/MiniMax-M3,true,54.1,completed,13972,826,14798,0.0071,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'System004Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T114147-system-004-opencode
tests-001,tests,1,opencode,minimax/MiniMax-M3,true,121.0,completed,10888,855,11743,0.0083,1,2,1,10,1.00,10.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CounterFixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T064248-tests-001-opencode
tests-002,tests,2,opencode,minimax/MiniMax-M3,true,268.1,completed,40248,4208,44456,0.0395,2,16,4,20,1.00,20.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'DecodingFixture' | xctest:5 executed, 5 passed, 0 failed, 0 skipped",2026-09-02T064450-tests-002-opencode
tests-003,tests,3,opencode,minimax/MiniMax-M3,true,56.5,completed,15611,1723,17334,0.0125,1,13,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CellReuseFixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-01T155432-tests-003-opencode
tests-005,tests,5,opencode,minimax/MiniMax-M3,true,144.1,completed,22885,2154,25039,0.0132,1,3,3,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'LeakFixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T064919-tests-005-opencode
ui-auto-001,interaction,3,opencode,minimax/MiniMax-M3,true,599.9,completed,64511,21170,85681,0.1421,4,179,1,30,0.58,17.5,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'CounterFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T065144-ui-auto-001-opencode
ui-auto-002,interaction,4,opencode,minimax/MiniMax-M3,true,614.1,completed,93786,23717,117503,0.0851,3,77,67,40,0.43,17.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T070148-ui-auto-002-opencode
ui-auto-003,interaction,4,opencode,minimax/MiniMax-M3,true,527.0,completed,83190,16132,99322,0.0793,5,85,2,40,0.50,20.1,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T071206-ui-auto-003-opencode
ui-auto-004,interaction,5,opencode,minimax/MiniMax-M3,true,484.2,completed,44010,25389,69399,0.0801,2,39,6,50,0.72,36.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T072118-ui-auto-004-opencode
ui-auto-005,interaction,5,opencode,minimax/MiniMax-M3,true,1609.4,timeout,,,,,6,135,6,50,0.25,12.5,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'TruncationFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T072927-ui-auto-005-opencode
ui-auto-006,interaction,6,opencode,minimax/MiniMax-M3,true,1073.4,completed,113510,17785,131295,0.1967,4,57,0,60,0.38,22.8,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T075620-ui-auto-006-opencode
ui-auto-007,interaction,6,opencode,minimax/MiniMax-M3,true,971.7,completed,70314,28143,98457,0.1449,5,119,5,60,0.51,30.5,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'NavigationFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T081418-ui-auto-007-opencode
ui-auto-008,interaction,7,opencode,minimax/MiniMax-M3,true,398.6,completed,125979,14761,140740,0.0854,3,104,2,70,0.36,24.9,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'AdaptiveLayoutFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T083034-ui-auto-008-opencode
ui-auto-009,interaction,7,opencode,minimax/MiniMax-M3,true,594.8,completed,62680,22368,85048,0.1168,3,268,2,70,0.59,41.2,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'GestureFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T083717-ui-auto-009-opencode
ui-auto-010,interaction,8,opencode,minimax/MiniMax-M3,false,545.2,completed,12919,32369,45288,0.0458,0,0,0,80,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T084716-ui-auto-010-opencode
ui-auto-011,interaction,4,opencode,minimax/MiniMax-M3,true,739.3,completed,43590,13796,57386,0.0774,3,57,0,40,0.87,34.9,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T085625-ui-auto-011-opencode
ui-auto-012,interaction,5,opencode,minimax/MiniMax-M3,true,1019.4,completed,29522,34675,64197,0.1852,3,78,7,50,0.78,38.9,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T090848-ui-auto-012-opencode
ui-auto-014,interaction,5,opencode,minimax/MiniMax-M3,true,463.0,completed,43181,14064,57245,0.0700,2,51,0,50,0.87,43.7,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T092552-ui-auto-014-opencode
ui-auto-015,interaction,6,opencode,minimax/MiniMax-M3,true,295.3,completed,29958,6800,36758,0.0400,2,39,0,60,1.00,60.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T093339-ui-auto-015-opencode
ui-auto-016,interaction,5,opencode,minimax/MiniMax-M3,false,1578.4,timeout,192840,56299,249139,0.2893,4,187,2,50,0.25,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 0 passed, 1 failed, 0 skipped — failing: FormFlowFixtureUITests/testReturnKeySubmitsWithoutClearingAndAdvancesFocus()",2026-09-02T093839-ui-auto-016-opencode
ui-auto-017,interaction,6,opencode,minimax/MiniMax-M3,true,246.9,completed,26807,5066,31873,0.0289,4,160,0,60,1.00,60.0,build=P;xcuitest=P;file=P,"build:xcodebuild build succeeded for scheme 'SafeAreaFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied",2026-09-02T100501-ui-auto-017-opencode
ui-auto-018,interaction,8,opencode,minimax/MiniMax-M3,true,509.5,completed,55228,24785,80013,0.0994,3,124,9,80,0.62,50.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T100912-ui-auto-018-opencode
ui-auto-019,interaction,5,opencode,minimax/MiniMax-M3,false,355.9,completed,37942,11318,49260,0.0589,2,23,0,50,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'DynamicTypeFixture' | xcuitest:1 executed, 0 passed, 1 failed, 0 skipped — failing: WelcomeLabelTests/testWelcomeLabelAppearsAndCanBeTapped()",2026-09-02T101746-ui-auto-019-opencode
visual-001,visual,1,opencode,minimax/MiniMax-M3,true,73.4,completed,9781,725,10506,0.0073,1,1,2,10,1.00,10.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'TruncationFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T102346-visual-001-opencode
visual-003,visual,3,opencode,minimax/MiniMax-M3,true,168.9,completed,12408,2201,14609,0.0105,1,15,16,30,1.00,30.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'SafeAreaFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T102504-visual-003-opencode
visual-004,visual,4,opencode,minimax/MiniMax-M3,true,247.7,completed,18106,4002,22108,0.0176,1,18,8,40,1.00,40.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'DynamicTypeFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T102757-visual-004-opencode
visual-005,visual,5,opencode,minimax/MiniMax-M3,true,197.9,completed,16879,2416,19295,0.0143,1,23,8,50,1.00,50.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'AdaptiveLayoutFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T103209-visual-005-opencode
widget-001,frameworks,3,opencode,minimax/MiniMax-M3,false,25.1,completed,7390,982,8372,0.0059,1,1,1,30,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'WidgetTimelineFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T103531-widget-001-opencode
widget-002,frameworks,5,opencode,minimax/MiniMax-M3,false,208.0,completed,39722,18895,58617,0.0632,2,80,18,50,0.85,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Widget002Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T114242-widget-002-opencode
widget-003,frameworks,4,opencode,minimax/MiniMax-M3,true,38.5,completed,17140,940,18080,0.0108,1,1,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Widget003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T114611-widget-003-opencode
