task,category,difficulty,agent,model,passed,duration_seconds,agent_termination,input_tokens,output_tokens,total_tokens,cost_usd,files_changed,insertions,deletions,face_value,efficiency,points,graders,grader_summaries,run_id
swiftdata-003,frameworks,6,opencode,minimax/MiniMax-M2.7,true,48.5,completed,555,716,1271,0.0042,1,1,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata003Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T172124-swiftdata-003-opencode
swiftdata-004,frameworks,6,opencode,minimax/MiniMax-M2.7,true,50.7,completed,623,999,1622,0.0058,1,1,1,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata004Fixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T172213-swiftdata-004-opencode
swiftdata-005,frameworks,5,opencode,minimax/MiniMax-M2.7,true,57.1,completed,400,926,1326,0.0056,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata005Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T172305-swiftdata-005-opencode
swiftdata-006,frameworks,5,opencode,minimax/MiniMax-M2.7,true,94.2,completed,243,725,968,0.0053,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata006Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T172403-swiftdata-006-opencode
swiftdata-007,frameworks,4,opencode,minimax/MiniMax-M2.7,true,53.5,completed,443,795,1238,0.0042,1,1,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata007Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T172539-swiftdata-007-opencode
swiftdata-008,frameworks,7,opencode,minimax/MiniMax-M2.7,false,73.8,completed,694,1619,2313,0.0064,1,7,2,70,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Swiftdata008Fixture' | xctest:3 executed, 1 passed, 2 failed, 0 skipped — failing: SyncedNotesTests/testEveryRelationshipIsOptional(), SyncedNotesTests/testNoAttributeIsUnique()",2026-09-02T172632-swiftdata-008-opencode
swiftdata-009,frameworks,3,opencode,minimax/MiniMax-M2.7,true,47.0,completed,539,560,1099,0.0039,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Swiftdata009Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T172747-swiftdata-009-opencode
swiftdata-010,frameworks,6,opencode,minimax/MiniMax-M2.7,false,58.6,completed,939,1062,2001,0.0050,1,2,0,60,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Swiftdata010Fixture' | xctest:2 executed, 0 passed, 2 failed, 0 skipped — failing: DatabaseTests/testEveryScreenSeesTheSameStore(), DatabaseTests/testTheStackVendsOneContainer()",2026-09-02T172834-swiftdata-010-opencode
system-001,frameworks,5,opencode,minimax/MiniMax-M2.7,true,51.8,completed,471,667,1138,0.0040,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'System001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T172934-system-001-opencode
system-002,frameworks,6,opencode,minimax/MiniMax-M2.7,true,56.8,completed,604,830,1434,0.0056,1,1,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'System002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T173026-system-002-opencode
system-003,frameworks,4,opencode,minimax/MiniMax-M2.7,true,77.0,completed,2974,2392,5366,0.0115,2,23,3,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'System003Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T173124-system-003-opencode
system-004,frameworks,5,opencode,minimax/MiniMax-M2.7,true,34.0,completed,214,826,1040,0.0046,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'System004Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T173242-system-004-opencode
tests-001,tests,1,opencode,minimax/MiniMax-M2.7,true,66.0,completed,682,946,1628,0.0046,1,2,1,10,1.00,10.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CounterFixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T143057-tests-001-opencode
tests-002,tests,2,opencode,minimax/MiniMax-M2.7,false,227.8,completed,11952,6401,18353,0.0367,2,8,4,20,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'DecodingFixture' | xctest:5 executed, 0 passed, 5 failed, 0 skipped — failing: FeedDecodingTests/testAllArticlesDecode(), FeedDecodingTests/testArticleWithNullAuthorDecodes(), FeedDecodingTests/testArticleWithoutReadMinutesDecodes(), FeedDecodingTests/testAuthorsDecode(), FeedDecodingTests/testPublishedDatesDecodeCorrectly()",2026-09-02T143203-tests-002-opencode
tests-005,tests,5,opencode,minimax/MiniMax-M2.7,false,94.1,completed,7947,2780,10727,0.0112,1,2,2,50,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'LeakFixture' | xctest:2 executed, 1 passed, 1 failed, 0 skipped — failing: ProfileLifetimeTests/testDelegateIsNotRetainedByViewModel()",2026-09-02T143552-tests-005-opencode
ui-auto-001,interaction,3,opencode,minimax/MiniMax-M2.7,false,1510.9,completed,41296,72032,113328,1.1115,4,180,27,30,0.44,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'CounterFixture' | xcuitest:2 executed, 0 passed, 2 failed, 0 skipped — failing: CounterFixtureUITests/testCounterIncrement(), CounterFixtureUITests/testLaunchPerformance()",2026-09-02T143727-ui-auto-001-opencode
ui-auto-002,interaction,4,opencode,minimax/MiniMax-M2.7,true,386.8,completed,25857,7935,33792,0.0621,3,74,5,40,1.00,40.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T150242-ui-auto-002-opencode
ui-auto-003,interaction,4,opencode,minimax/MiniMax-M2.7,false,149.5,completed,9219,5805,15024,0.0262,1,7,18,40,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T150912-ui-auto-003-opencode
ui-auto-004,interaction,5,opencode,minimax/MiniMax-M2.7,false,111.3,completed,2967,2265,5232,0.0104,1,24,0,50,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:1 executed, 0 passed, 1 failed, 0 skipped — failing: PartsSearchTests/testDeleteFirstRow()",2026-09-02T151146-ui-auto-004-opencode
ui-auto-005,interaction,5,opencode,minimax/MiniMax-M2.7,false,204.4,completed,8558,6184,14742,0.0313,3,89,0,50,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'TruncationFixture' | xcuitest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T151341-ui-auto-005-opencode
ui-auto-006,interaction,6,opencode,minimax/MiniMax-M2.7,false,115.6,completed,8342,5928,14270,0.0360,3,32,0,60,1.00,0.0,build=F;xcuitest=F,"build:xcodebuild build failed (exit 65) for scheme 'RefreshFixture' | xcuitest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T151710-ui-auto-006-opencode
ui-auto-007,interaction,6,opencode,minimax/MiniMax-M2.7,false,198.3,completed,8619,12494,21113,0.0602,5,121,14,60,1.00,0.0,build=F;xcuitest=F,"build:xcodebuild build failed (exit 74) for scheme 'NavigationFixture' | xcuitest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T151910-ui-auto-007-opencode
ui-auto-008,interaction,7,opencode,minimax/MiniMax-M2.7,false,292.2,completed,12458,6714,19172,0.0384,2,66,0,70,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'AdaptiveLayoutFixture' | xcuitest:1 executed, 0 passed, 1 failed, 0 skipped — failing: AdaptiveLayoutTests/testAdaptiveLayoutPortraitToLandscapeToPortrait()",2026-09-02T152232-ui-auto-008-opencode
ui-auto-009,interaction,7,opencode,minimax/MiniMax-M2.7,false,176.9,completed,11002,9837,20839,0.0551,4,230,0,70,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'GestureFixture' | xcuitest:1 executed, 0 passed, 1 failed, 0 skipped — failing: GestureFixtureUITests/testPinchToZoomOutChangesPixels()",2026-09-02T152728-ui-auto-009-opencode
ui-auto-010,interaction,8,opencode,minimax/MiniMax-M2.7,true,150.7,completed,9003,5187,14190,0.0266,2,33,4,80,1.00,80.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T153026-ui-auto-010-opencode
ui-auto-011,interaction,4,opencode,minimax/MiniMax-M2.7,true,166.1,completed,10136,6744,16880,0.0372,4,42,2,40,1.00,40.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T153301-ui-auto-011-opencode
ui-auto-012,interaction,5,opencode,minimax/MiniMax-M2.7,false,137.0,completed,9607,5559,15166,0.0278,2,26,0,50,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:1 executed, 0 passed, 1 failed, 0 skipped — failing: SearchFixtureUITests/testSearchFieldLocateAndSearch()",2026-09-02T153551-ui-auto-012-opencode
ui-auto-014,interaction,5,opencode,minimax/MiniMax-M2.7,false,91.2,completed,9132,1857,10989,0.0138,1,34,0,50,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 0 passed, 1 failed, 0 skipped — failing: EnrolmentFlowTests/testKeyboardDismissalPreservesFieldContents()",2026-09-02T153812-ui-auto-014-opencode
ui-auto-015,interaction,6,opencode,minimax/MiniMax-M2.7,true,137.3,completed,9236,1330,10566,0.0134,1,20,0,60,1.00,60.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T153947-ui-auto-015-opencode
ui-auto-016,interaction,5,opencode,minimax/MiniMax-M2.7,true,857.4,completed,31992,22429,54421,0.1348,2,40,8,50,0.92,45.9,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T154209-ui-auto-016-opencode
ui-auto-017,interaction,6,opencode,minimax/MiniMax-M2.7,false,109.1,completed,2355,2597,4952,0.0112,1,21,0,60,1.00,0.0,build=P;xcuitest=F;file=F,"build:xcodebuild build succeeded for scheme 'SafeAreaFixture' | xcuitest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed | file:snapshot.txt: expected to exist",2026-09-02T155630-ui-auto-017-opencode
ui-auto-018,interaction,8,opencode,minimax/MiniMax-M2.7,false,236.3,completed,13066,7851,20917,0.0423,333,5423,13,80,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 0 passed, 1 failed, 0 skipped — failing: FormFlowEndToEndTests/testCompleteFlowEndToEnd()",2026-09-02T155823-ui-auto-018-opencode
ui-auto-019,interaction,5,opencode,minimax/MiniMax-M2.7,false,77.5,completed,7103,2802,9905,0.0174,2,20,0,50,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'DynamicTypeFixture' | xcuitest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T160224-ui-auto-019-opencode
visual-001,visual,1,opencode,minimax/MiniMax-M2.7,true,136.8,completed,314,1166,1480,0.0062,1,1,2,10,1.00,10.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'TruncationFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T160345-visual-001-opencode
visual-003,visual,3,opencode,minimax/MiniMax-M2.7,true,74.1,completed,1013,1157,2170,0.0058,1,2,1,30,1.00,30.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'SafeAreaFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T160606-visual-003-opencode
visual-004,visual,4,opencode,minimax/MiniMax-M2.7,true,692.4,completed,11127,29127,40254,0.1824,1,26,8,40,1.00,40.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'DynamicTypeFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T160724-visual-004-opencode
visual-005,visual,5,opencode,minimax/MiniMax-M2.7,true,96.4,completed,4652,2177,6829,0.0116,1,30,1,50,1.00,50.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'AdaptiveLayoutFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T161901-visual-005-opencode
widget-001,frameworks,3,opencode,minimax/MiniMax-M2.7,false,51.0,completed,537,928,1465,0.0044,1,12,1,30,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'WidgetTimelineFixture' | xctest:1 executed, 0 passed, 1 failed, 0 skipped — failing: StatusProviderTests/testTimelineContainsTheShopStatus()",2026-09-02T162041-widget-001-opencode
widget-002,frameworks,5,opencode,minimax/MiniMax-M2.7,false,90.7,completed,5635,4364,9999,0.0222,3,160,2,50,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Widget002Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T173316-widget-002-opencode
widget-003,frameworks,4,opencode,minimax/MiniMax-M2.7,true,55.3,completed,713,790,1503,0.0044,1,1,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Widget003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T173447-widget-003-opencode
