task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,efficiency,points,graders,grader_summaries,run_id
g2-flow-003,interaction,7,opencode,minimax/MiniMax-M3,,true,172.6,completed,10929,1583,66944,0,77873,12512,0.0092,0.0092,1,1,1,70,1.00,70.0,uiflow=P;uiflow=P;uiflow=P,uiflow:3 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default,2026-09-03T174437-g2-flow-003-opencode
g2-flow-003,interaction,7,opencode,minimax/MiniMax-M2.7,,true,98.2,completed,291,745,,,291,1036,0.0039,0.0010,1,1,1,70,1.00,70.0,uiflow=P;uiflow=P;uiflow=P,uiflow:3 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default,2026-09-03T135652-g2-flow-003-opencode
g2-lifecycle-002,runtime,9,opencode,minimax/MiniMax-M3,,false,92.9,completed,7000,509,,,7000,7509,0.0027,0.0027,0,0,0,90,1.00,0.0,uiflow=F;uiflow=F,"uiflow:The flow could not be driven in default: step 0 (tap) failed: element not found (after scroll): note-field | uiflow:2 of 2 UI assertion(s) failed in default: no element on screen shows ""Book the ferry""; ""Nothing saved"" is on screen, in ""Nothing saved""",2026-09-03T163828-g2-lifecycle-002-opencode
g2-lifecycle-002,runtime,9,opencode,minimax/MiniMax-M3,,false,204.0,completed,27196,7737,284160,0,311356,34933,0.0345,0.0345,2,15,14,90,1.00,0.0,uiflow=P;uiflow=F,"uiflow:1 UI assertion(s) hold in default | uiflow:1 of 2 UI assertion(s) failed in default: no element on screen shows ""Book the ferry""",2026-09-03T174734-g2-lifecycle-002-opencode
g2-lifecycle-002,runtime,9,opencode,minimax/MiniMax-M2.7,,false,174.2,completed,1334,839,,,1334,2173,0.0040,0.0014,0,0,0,90,1.00,0.0,uiflow=P;uiflow=F,"uiflow:1 UI assertion(s) hold in default | uiflow:2 of 2 UI assertion(s) failed in default: no element on screen shows ""Book the ferry""; ""Nothing saved"" is on screen, in ""Nothing saved""",2026-09-03T135832-g2-lifecycle-002-opencode
g2-locale-001,frameworks,8,opencode,minimax/MiniMax-M3,,false,229.8,completed,9133,1777,,,9133,10910,0.0103,0.0049,1,7,8,80,1.00,0.0,uiflow=F;uiflow=P,"uiflow:1 of 1 UI assertion(s) failed in language=en locale=en_US: ""Åberg"" is not on screen, so the order cannot hold | uiflow:1 UI assertion(s) hold in language=sv locale=sv_SE",2026-09-03T164004-g2-locale-001-opencode
g2-locale-001,frameworks,8,opencode,minimax/MiniMax-M2.7,,false,172.6,completed,1865,1472,,,1865,3337,0.0074,0.0023,1,2,4,80,1.00,0.0,uiflow=F;uiflow=P,"uiflow:1 of 1 UI assertion(s) failed in language=en locale=en_US: ""Bengtsson"" comes before ""Åberg"" on screen; expected ""Åberg"", ""Bengtsson"", ""Öhlin"", ""Olsen"", ""Zetterlund"" | uiflow:1 UI assertion(s) hold in language=sv locale=sv_SE",2026-09-03T140127-g2-locale-001-opencode
g2-locale-001,frameworks,8,opencode,minimax/MiniMax-M3,,false,138.5,completed,8808,1213,49408,0,58216,10021,0.0071,0.0071,1,3,3,80,1.00,0.0,uiflow=F;uiflow=P,"uiflow:1 of 1 UI assertion(s) failed in language=en locale=en_US: ""Bengtsson"" comes before ""Åberg"" on screen; expected ""Åberg"", ""Bengtsson"", ""Öhlin"", ""Olsen"", ""Zetterlund"" | uiflow:1 UI assertion(s) hold in language=sv locale=sv_SE",2026-09-03T175102-g2-locale-001-opencode
g2-locale-002,frameworks,9,opencode,minimax/MiniMax-M2.7,,true,182.4,completed,1110,1488,,,1110,2598,0.0073,0.0021,1,1,3,90,1.00,90.0,uiflow=P;uiflow=P;file=P,uiflow:4 UI assertion(s) hold in language=en locale=en_US | uiflow:6 UI assertion(s) hold in language=tr locale=tr_TR | file:2 file assertion(s) satisfied,2026-09-03T140425-g2-locale-002-opencode
g2-locale-002,frameworks,9,opencode,minimax/MiniMax-M3,,true,129.3,completed,7263,1581,51584,0,58847,8844,0.0072,0.0072,1,3,1,90,1.00,90.0,uiflow=P;uiflow=P;file=P,uiflow:4 UI assertion(s) hold in language=en locale=en_US | uiflow:6 UI assertion(s) hold in language=tr locale=tr_TR | file:2 file assertion(s) satisfied,2026-09-03T175325-g2-locale-002-opencode
g2-locale-002,frameworks,9,opencode,minimax/MiniMax-M3,,true,158.1,completed,8858,1249,,,8858,10107,0.0070,0.0042,1,5,1,90,1.00,90.0,uiflow=P;uiflow=P;file=P,uiflow:4 UI assertion(s) hold in language=en locale=en_US | uiflow:6 UI assertion(s) hold in language=tr locale=tr_TR | file:2 file assertion(s) satisfied,2026-09-03T164358-g2-locale-002-opencode
g2-locale-003,frameworks,8,opencode,minimax/MiniMax-M3,,true,202.1,completed,11020,1513,101632,0,112652,13712,0.0126,0.0112,1,25,10,80,1.00,80.0,uiflow=P;uiflow=P;file=P,uiflow:3 UI assertion(s) hold in language=en locale=en_US | uiflow:4 UI assertion(s) hold in language=sv locale=sv_SE | file:2 file assertion(s) satisfied,2026-09-03T175538-g2-locale-003-opencode
g2-locale-003,frameworks,8,opencode,minimax/MiniMax-M3,,false,157.4,completed,11841,4558,,,11841,16399,0.0128,0.0090,1,21,10,80,1.00,0.0,uiflow=F;uiflow=P;file=P,"uiflow:3 of 3 UI assertion(s) failed in language=en locale=en_US: no element on screen shows ""12.40""; no element on screen shows ""3.50""; no element on screen shows ""21.90"" | uiflow:4 UI assertion(s) hold in language=sv locale=sv_SE | file:2 file assertion(s) satisfied",2026-09-03T164640-g2-locale-003-opencode
g2-locale-003,frameworks,8,opencode,minimax/MiniMax-M2.7,,true,194.2,completed,1618,1908,,,1618,3526,0.0097,0.0028,1,22,10,80,1.00,80.0,uiflow=P;uiflow=P;file=P,uiflow:3 UI assertion(s) hold in language=en locale=en_US | uiflow:4 UI assertion(s) hold in language=sv locale=sv_SE | file:2 file assertion(s) satisfied,2026-09-03T140731-g2-locale-003-opencode
g2-locale-004,frameworks,9,opencode,minimax/MiniMax-M3,,false,204.2,completed,16737,4191,107264,0,124001,20928,0.0165,0.0165,1,13,6,90,1.00,0.0,uiflow=F;uiflow=F;file=P,"uiflow:2 of 2 UI assertion(s) failed in language=en locale=en_US: no element on screen shows ""3/4/26""; no element on screen shows ""11/9/26"" | uiflow:2 of 3 UI assertion(s) failed in language=de locale=de_DE: no element on screen shows ""04.03.26""; no element on screen shows ""09.11.26"" | file:2 file assertion(s) satisfied",2026-09-03T175905-g2-locale-004-opencode
g2-locale-004,frameworks,9,opencode,minimax/MiniMax-M3,,false,204.4,completed,18966,5999,,,18966,24965,0.0273,0.0129,1,23,7,90,1.00,0.0,uiflow=F;uiflow=F;file=P,"uiflow:2 of 2 UI assertion(s) failed in language=en locale=en_US: no element on screen shows ""3/4/26""; no element on screen shows ""11/9/26"" | uiflow:2 of 3 UI assertion(s) failed in language=de locale=de_DE: no element on screen shows ""04.03.26""; no element on screen shows ""09.11.26"" | file:2 file assertion(s) satisfied",2026-09-03T164922-g2-locale-004-opencode
g2-locale-004,frameworks,9,opencode,minimax/MiniMax-M2.7,,false,284.0,completed,1154,1712,,,1154,2866,0.0103,0.0024,1,4,3,90,1.00,0.0,uiflow=F;uiflow=F;file=P,"uiflow:2 of 2 UI assertion(s) failed in language=en locale=en_US: no element on screen shows ""3/4/26""; no element on screen shows ""11/9/26"" | uiflow:2 of 3 UI assertion(s) failed in language=de locale=de_DE: no element on screen shows ""04.03.26""; no element on screen shows ""09.11.26"" | file:2 file assertion(s) satisfied",2026-09-03T141050-g2-locale-004-opencode
g2-order-001,interaction,9,opencode,minimax/MiniMax-M3,,false,173.0,completed,8605,1755,,,8605,10360,0.0078,0.0047,1,7,4,90,1.00,0.0,uiflow=F;uiflow=P;uiflow=P;file=P,uiflow:The flow could not be driven in default: step 0 (tap) failed: element not found (after scroll): cloudline-up | uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | file:2 file assertion(s) satisfied,2026-09-03T165250-g2-order-001-opencode
g2-order-001,interaction,9,opencode,minimax/MiniMax-M3,,false,81.7,completed,10199,1058,53868,0,64067,13985,0.0108,0.0076,1,6,5,90,1.00,0.0,uiflow=F;uiflow=P;uiflow=F;file=P,"uiflow:1 of 1 UI assertion(s) failed in default: ""Blackwater"" comes before ""Cloudline"" on screen; expected ""Ashgrove"", ""Cloudline"", ""Blackwater"", ""Driftwood"" | uiflow:1 UI assertion(s) hold in default | uiflow:1 of 1 UI assertion(s) failed in default: ""Ashgrove"" comes before ""Driftwood"" on screen; expected ""Driftwood"", ""Ashgrove"", ""Blackwater"", ""Cloudline"" | file:2 file assertion(s) satisfied",2026-09-03T180245-g2-order-001-opencode
g2-order-001,interaction,9,opencode,minimax/MiniMax-M2.7,,true,188.4,completed,796,4210,,,796,5006,0.0099,0.0053,1,10,5,90,1.00,90.0,uiflow=P;uiflow=P;uiflow=P;file=P,uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | uiflow:1 UI assertion(s) hold in default | file:2 file assertion(s) satisfied,2026-09-03T141538-g2-order-001-opencode
g2-order-002,interaction,9,opencode,minimax/MiniMax-M2.7,,false,140.6,completed,2891,1717,,,2891,4608,0.0088,0.0029,1,7,5,90,1.00,0.0,uiflow=P;uiflow=F,"uiflow:2 UI assertion(s) hold in default | uiflow:1 of 5 UI assertion(s) failed in default: ""Row 3"" is on screen, in ""Row 3""",2026-09-03T141851-g2-order-002-opencode
g2-order-002,interaction,9,opencode,minimax/MiniMax-M3,,false,196.2,completed,11196,1963,154752,0,165948,17193,0.0198,0.0150,1,13,7,90,1.00,0.0,uiflow=P;uiflow=F,"uiflow:2 UI assertion(s) hold in default | uiflow:1 of 5 UI assertion(s) failed in default: ""Row 3"" is on screen, in ""Row 3""",2026-09-03T180411-g2-order-002-opencode
healthkit-001,frameworks,6,opencode,minimax/MiniMax-M2.7,,false,254.6,completed,15612,5765,,,15612,21377,0.0485,0.0116,2,75,2,60,1.00,0.0,build=P;xcodeproj=F;xctest=P,"build:xcodebuild build succeeded for scheme 'Healthkit001Fixture' | xcodeproj:2 of 2 project assertion(s) failed — Info.plist key NSHealthShareUsageDescription is not set; Info.plist key NSHealthUpdateUsageDescription is not set | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T165716-healthkit-001-opencode
healthkit-001,frameworks,6,opencode,minimax/MiniMax-M3,,false,220.4,completed,39524,17267,,,39524,56791,0.0671,0.0326,3,51,3,60,0.88,0.0,build=P;xcodeproj=F;xctest=P,"build:xcodebuild build succeeded for scheme 'Healthkit001Fixture' | xcodeproj:1 of 2 project assertion(s) failed — Info.plist key NSHealthUpdateUsageDescription is not set | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T111721-healthkit-001-opencode
interaction-001,interaction,1,opencode,minimax/MiniMax-M3,,true,235.2,completed,11398,1545,132992,0,144390,13293,0.0137,0.0133,3,14,4,10,1.00,10.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/CartView.swift: "".accessibilityIdentifier(""cart-item-\(index)"")"" → "".accessibilityIdentifier(""cart-item-\(index)-mutated"")"")",2026-09-03T180731-interaction-001-opencode
interaction-001,interaction,1,opencode,minimax/MiniMax-M3,,true,94.8,completed,8358,1255,,,8358,9613,0.0087,0.0040,2,2,2,10,1.00,10.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T160020-interaction-001-opencode
interaction-001,interaction,1,opencode,minimax/MiniMax-M3,,true,171.8,completed,10357,1003,,,10357,11360,0.0094,0.0043,3,5,2,10,1.00,10.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/CartView.swift: "".accessibilityIdentifier(""cart-item-\(index)"")"" → "".accessibilityIdentifier(""cart-item-\(index)-mutated"")"")",2026-09-03T165644-interaction-001-opencode
interaction-001,interaction,1,opencode,minimax/MiniMax-M3,,true,83.5,completed,6995,766,,,6995,7761,0.0070,0.0030,2,2,2,10,1.00,10.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T170119-interaction-001-opencode
interaction-001,interaction,1,opencode,minimax/MiniMax-M3,,true,129.2,completed,15272,1981,,,15272,17253,0.0149,0.0070,3,5,2,10,1.00,10.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T041810-interaction-001-opencode
interaction-001,interaction,1,opencode,minimax/MiniMax-M2.7,,true,112.7,completed,1422,1066,,,1422,2488,0.0053,0.0017,2,2,2,10,1.00,10.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T121109-interaction-001-opencode
interaction-001,interaction,1,opencode,minimax/MiniMax-M2.7,,true,171.0,completed,2624,1358,,,2624,3982,0.0073,0.0024,2,2,2,10,1.00,10.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/CartView.swift: "".accessibilityIdentifier(""cart-item-\(index)"")"" → "".accessibilityIdentifier(""cart-item-\(index)-mutated"")"")",2026-09-03T142116-interaction-001-opencode
interaction-002,interaction,2,opencode,minimax/MiniMax-M3,,true,153.9,completed,7195,407,30720,0,37915,7602,0.0045,0.0045,1,1,1,20,1.00,20.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/PartsSearchView.swift: "".accessibilityIdentifier(""result-\(index)"")"" → "".accessibilityIdentifier(""result-\(index)-mutated"")"")",2026-09-03T181128-interaction-002-opencode
interaction-002,interaction,2,opencode,minimax/MiniMax-M2.7,,true,132.9,completed,984,670,,,984,1654,0.0044,0.0011,1,1,1,20,1.00,20.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T121307-interaction-002-opencode
interaction-002,interaction,2,opencode,minimax/MiniMax-M3,,true,83.7,completed,13001,560,,,13001,13561,0.0071,0.0046,1,1,1,20,1.00,20.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-01T170246-interaction-002-opencode
interaction-002,interaction,2,opencode,minimax/MiniMax-M2.7,,true,175.8,completed,284,585,,,284,869,0.0041,0.0008,1,1,1,20,1.00,20.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/PartsSearchView.swift: "".accessibilityIdentifier(""result-\(index)"")"" → "".accessibilityIdentifier(""result-\(index)-mutated"")"")",2026-09-03T142409-interaction-002-opencode
interaction-002,interaction,2,opencode,minimax/MiniMax-M3,,true,143.5,completed,17034,409,,,17034,17443,0.0068,0.0056,1,1,1,20,1.00,20.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T042024-interaction-002-opencode
interaction-002,interaction,2,opencode,minimax/MiniMax-M3,,true,94.2,completed,24106,490,,,24106,24596,0.0087,0.0078,1,1,1,20,1.00,20.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-01T160158-interaction-002-opencode
interaction-003,interaction,3,opencode,minimax/MiniMax-M2.7,,true,149.8,completed,1015,1382,,,1015,2397,0.0056,0.0020,1,1,0,30,1.00,30.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/ReportView.swift: "".accessibilityIdentifier(""row-\(index)"")"" → "".accessibilityIdentifier(""row-\(index)-mutated"")"")",2026-09-03T142708-interaction-003-opencode
interaction-003,interaction,3,opencode,minimax/MiniMax-M3,,true,79.2,completed,7853,960,,,7853,8813,0.0055,0.0035,1,1,0,30,1.00,30.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T160337-interaction-003-opencode
interaction-003,interaction,3,opencode,minimax/MiniMax-M3,,true,72.2,completed,7327,871,,,7327,8198,0.0072,0.0032,1,1,0,30,1.00,30.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T170414-interaction-003-opencode
interaction-003,interaction,3,opencode,minimax/MiniMax-M3,,true,107.4,completed,9379,608,30721,0,40100,10285,0.0057,0.0054,1,1,0,30,1.00,30.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/ReportView.swift: "".accessibilityIdentifier(""row-\(index)"")"" → "".accessibilityIdentifier(""row-\(index)-mutated"")"")",2026-09-03T181404-interaction-003-opencode
interaction-003,interaction,3,opencode,minimax/MiniMax-M3,,false,146.0,completed,8604,1095,,,8604,9699,0.0058,0.0039,1,1,0,30,1.00,0.0,build=P;xcuitest=F,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T042252-interaction-003-opencode
interaction-003,interaction,3,opencode,minimax/MiniMax-M2.7,,true,234.8,completed,1939,1849,,,1939,3788,0.0109,0.0028,1,1,0,30,1.00,30.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T121524-interaction-003-opencode
interaction-004,interaction,4,opencode,minimax/MiniMax-M2.7,,true,257.0,completed,2286,2345,,,2286,4631,0.0101,0.0035,1,7,1,40,1.00,40.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T121923-interaction-004-opencode
interaction-004,interaction,4,opencode,minimax/MiniMax-M3,,true,99.8,completed,16125,1576,,,16125,17701,0.0089,0.0067,1,4,14,40,1.00,40.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-01T170530-interaction-004-opencode
interaction-004,interaction,4,opencode,minimax/MiniMax-M3,,true,148.6,completed,7642,3102,,,7642,10744,0.0113,0.0060,1,4,14,40,1.00,40.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-01T160502-interaction-004-opencode
interaction-004,interaction,4,opencode,minimax/MiniMax-M3,,true,228.2,completed,21714,5855,,,21714,27569,0.0305,0.0135,1,18,8,40,1.00,40.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T042519-interaction-004-opencode
interaction-004,interaction,4,opencode,minimax/MiniMax-M3,,true,222.6,completed,16248,1413,92929,0,109177,19235,0.0140,0.0121,1,4,14,40,1.00,40.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/EnrolmentFlowView.swift: "".accessibilityIdentifier(""full-name"")"" → "".accessibilityIdentifier(""full-name-mutated"")"")",2026-09-03T181554-interaction-004-opencode
interaction-004,interaction,4,opencode,minimax/MiniMax-M2.7,,true,340.7,completed,2464,3140,,,2464,5604,0.0134,0.0045,1,9,0,40,1.00,40.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/EnrolmentFlowView.swift: "".accessibilityIdentifier(""full-name"")"" → "".accessibilityIdentifier(""full-name-mutated"")"")",2026-09-03T142942-interaction-004-opencode
interaction-005,interaction,5,opencode,minimax/MiniMax-M3,,false,1859.4,timeout,,,,,,,,,4,685,1,50,0.25,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'GestureFixture' | file:gesture-log.txt: expected to exist; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing,2026-09-01T160735-interaction-005-opencode
interaction-005,interaction,5,opencode,minimax/MiniMax-M3,,true,1428.3,completed,116377,55141,,,116377,171518,0.3565,0.1011,5,706,0,50,0.29,14.6,build=P;file=P,build:xcodebuild build succeeded for scheme 'GestureFixture' | file:8 file assertion(s) satisfied,2026-09-02T042911-interaction-005-opencode
interaction-005,interaction,5,opencode,minimax/MiniMax-M3,,true,1878.9,timeout,,,,,,,,,4904,159911,2,50,0.25,12.5,build=P;file=P,build:xcodebuild build succeeded for scheme 'GestureFixture' | file:8 file assertion(s) satisfied,2026-09-01T170714-interaction-005-opencode
interaction-005,interaction,5,opencode,minimax/MiniMax-M2.7,,false,1633.6,completed,26833,92419,,,26833,119252,1.4201,0.1190,1,114,0,50,0.42,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'GestureFixture' | file:gesture-log.txt: expected to exist; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing,2026-09-02T122344-interaction-005-opencode
mapkit-001,frameworks,4,opencode,minimax/MiniMax-M2.7,,false,23.4,completed,115,865,,,115,980,0.0040,0.0011,1,1,4,40,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Mapkit001Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T170131-mapkit-001-opencode
mapkit-001,frameworks,4,opencode,minimax/MiniMax-M3,,true,49.7,completed,12327,1579,,,12327,13906,0.0093,0.0056,1,5,2,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Mapkit001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112102-mapkit-001-opencode
networking-001,frameworks,4,opencode,minimax/MiniMax-M3,,true,82.8,completed,16118,2346,,,16118,18464,0.0142,0.0077,1,6,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112152-networking-001-opencode
networking-001,frameworks,4,opencode,minimax/MiniMax-M2.7,,true,64.5,completed,2417,1563,,,2417,3980,0.0094,0.0026,1,6,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T170156-networking-001-opencode
networking-002,frameworks,3,opencode,minimax/MiniMax-M3,,true,35.4,completed,7254,462,,,7254,7716,0.0050,0.0027,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112316-networking-002-opencode
networking-002,frameworks,3,opencode,minimax/MiniMax-M2.7,,true,46.5,completed,351,599,,,351,950,0.0038,0.0008,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T170301-networking-002-opencode
networking-003,frameworks,6,opencode,minimax/MiniMax-M2.7,,true,31.9,completed,455,784,,,455,1239,0.0047,0.0011,1,3,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T170348-networking-003-opencode
networking-003,frameworks,6,opencode,minimax/MiniMax-M3,,true,43.5,completed,6771,1211,,,6771,7982,0.0065,0.0035,1,3,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112352-networking-003-opencode
networking-004,frameworks,4,opencode,minimax/MiniMax-M3,,true,44.2,completed,8268,978,,,8268,9246,0.0064,0.0037,1,1,0,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T112436-networking-004-opencode
networking-004,frameworks,4,opencode,minimax/MiniMax-M2.7,,false,94.8,completed,900,2098,,,900,2998,0.0100,0.0028,1,1,0,40,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Networking004Fixture' | xctest:2 executed, 0 passed, 2 failed, 0 skipped — failing: ReadingsLoaderTests/testReadingsDecode(), ReadingsLoaderTests/testTheTimestampIsTheOneTheServiceSent()",2026-09-02T170421-networking-004-opencode
networking-005,frameworks,3,opencode,minimax/MiniMax-M2.7,,false,48.2,completed,173,705,,,173,878,0.0044,0.0009,1,2,1,30,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Networking005Fixture' | xctest:4 executed, 3 passed, 1 failed, 0 skipped — failing: SearchURLTests/testASearchWithAnAmpersand()",2026-09-02T170557-networking-005-opencode
networking-005,frameworks,3,opencode,minimax/MiniMax-M3,,true,64.0,completed,12966,1783,,,12966,14749,0.0107,0.0060,1,6,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking005Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T112521-networking-005-opencode
networking-006,frameworks,4,opencode,minimax/MiniMax-M2.7,,true,46.1,completed,248,719,,,248,967,0.0040,0.0009,1,1,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking006Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T170645-networking-006-opencode
networking-006,frameworks,4,opencode,minimax/MiniMax-M3,,true,29.6,completed,12707,723,,,12707,13430,0.0072,0.0047,1,1,2,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking006Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112626-networking-006-opencode
